atributos_id,player_api_id,overall_rating,potential,preferred_foot,crossing,finishing,dribbling,free_kick_accuracy,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,strength,aggression,interceptions,vision,penalties,marking,id_temporada
1,30981,93.0,95.0,left,84.0,94.0,96.0,90.0,96.0,96.0,90.0,94.0,94.0,95.0,80.0,73.0,60.0,48.0,22.0,90.0,76.0,25.0,8
2,30981,94.0,97.0,left,84.0,97.0,97.0,86.0,96.0,95.0,91.0,94.0,96.0,95.0,80.0,73.0,65.0,48.0,22.0,90.0,78.0,13.0,7
3,30981,90.0,95.0,left,82.0,90.0,97.0,74.0,96.0,96.0,93.0,96.0,87.0,86.0,79.0,64.0,59.0,48.0,75.0,91.0,91.0,20.0,3
4,30981,90.0,95.0,left,81.0,87.0,97.0,70.0,95.0,96.0,95.0,96.0,87.0,86.0,82.0,64.0,63.0,48.0,75.0,91.0,89.0,20.0,2
5,38922,68.0,68.0,right,72.0,48.0,70.0,72.0,71.0,51.0,52.0,50.0,71.0,62.0,68.0,51.0,64.0,74.0,67.0,49.0,69.0,70.0,6
6,38922,70.0,75.0,right,76.0,48.0,70.0,72.0,70.0,65.0,66.0,64.0,71.0,74.0,68.0,69.0,74.0,74.0,67.0,69.0,69.0,69.0,5
7,38922,,,,,,,,,,,,,,,,,,,,,,1
8,182456,74.0,80.0,right,32.0,49.0,60.0,31.0,67.0,52.0,55.0,59.0,67.0,55.0,68.0,76.0,77.0,73.0,74.0,40.0,47.0,76.0,9
9,182456,74.0,82.0,right,32.0,44.0,52.0,31.0,65.0,61.0,64.0,53.0,67.0,55.0,62.0,76.0,78.0,64.0,76.0,32.0,47.0,76.0,8
10,182456,72.0,82.0,right,32.0,44.0,47.0,31.0,54.0,55.0,64.0,53.0,67.0,55.0,62.0,76.0,78.0,64.0,76.0,32.0,47.0,75.0,7
11,40675,69.0,72.0,right,68.0,49.0,64.0,64.0,72.0,67.0,66.0,72.0,60.0,75.0,59.0,65.0,68.0,56.0,65.0,76.0,56.0,57.0,6
12,40675,63.0,65.0,right,50.0,49.0,47.0,58.0,63.0,61.0,61.0,60.0,60.0,70.0,56.0,62.0,65.0,56.0,56.0,68.0,56.0,57.0,6
13,166702,68.0,76.0,right,53.0,49.0,71.0,46.0,70.0,70.0,64.0,80.0,59.0,73.0,56.0,72.0,60.0,74.0,76.0,65.0,49.0,57.0,8
14,38151,67.0,67.0,right,48.0,49.0,52.0,61.0,59.0,53.0,53.0,63.0,78.0,65.0,73.0,70.0,67.0,74.0,72.0,59.0,59.0,59.0,9
