id_goles,minuto,match_api_id,id_j_en_plantel
390420,48,530090,3184
390750,35,530023,935
390754,39,530023,1873
390845,82,530023,2366
392917,14,530086,810
392942,7,530091,3508
392956,14,530088,3624
393007,26,530092,3489
393028,33,530091,3859
393030,35,530088,1904
393034,36,530089,457
393041,38,530092,3348
393053,43,530092,3348
393093,54,530084,797
393128,57,530091,2889
393160,69,530084,1695
393180,70,530087,1913
393227,75,530087,1432
393240,80,530092,3636
393282,86,530088,1348
393472,27,530085,981
393633,47,530085,2397
393660,51,530085,2616
402174,3,530099,249
402310,28,530099,2042
402481,54,530099,2409
402572,71,530095,424
402605,76,530095,293
402781,18,530096,489
402791,20,530096,489
402798,22,530096,3364
402903,36,530096,3346
402911,38,530096,2224
402957,45,530096,489
402996,60,530096,3346
404203,15,530102,1898
404256,27,530093,3677
404759,84,530102,942
404787,84,530098,3184
404860,83,530097,3624
404973,19,530094,1793
405009,23,530094,901
405021,26,530094,3695
405057,33,530094,284
405086,40,530094,1188
405529,21,530101,376
405611,36,530101,695
405630,40,530101,3859
405912,69,530101,935
413710,7,530112,2409
413838,24,530112,2409
414100,52,530112,3629
414246,77,530112,3636
414319,88,530112,3636
414517,47,530108,3674
414546,57,530108,2073
417192,42,530104,3846
417416,49,530104,3677
417450,50,530111,2399
417645,76,530104,968
417706,80,530111,580
417742,83,530106,1873
417833,74,530110,3859
418151,74,530109,2397
418486,27,530103,747
418519,33,530103,948
418667,49,530103,578
418674,50,530103,1394
418807,70,530103,764
418854,85,530103,424
418858,89,530103,424
419375,17,530117,948
419406,23,530117,948
419467,28,530115,1650
419501,32,530115,968
419947,59,530117,218
420003,67,530117,3865
420128,29,530119,3636
420162,80,530117,329
420688,18,530116,284
420781,33,530116,284
420783,75,530119,3624
420801,37,530116,3695
420812,82,530119,3636
420848,47,530116,284
420858,51,530116,2282
420862,54,530116,1350
420874,58,530116,921
420888,64,530116,921
420892,57,530118,2224
420948,85,530118,3364
420992,12,530114,1353
421108,50,530114,446
421168,71,530122,935
421174,66,530121,288
421206,76,530120,3697
421233,90,530122,935
421245,90,530121,1795
424614,18,530127,180
424808,53,530127,3719
424810,54,530127,3719
424854,64,530126,3831
424971,90,530127,2397
425115,21,530128,824
425354,84,530128,3814
425405,90,530128,424
426296,22,530125,2154
426408,33,530132,1264
426531,45,530125,42
426664,54,530132,402
426771,64,530132,320
426953,87,530130,1348
426962,86,530125,446
427080,90,530131,3859
427120,11,530123,28
427179,35,530123,1873
427228,50,530123,935
427304,69,530123,2730
427391,82,530123,935
427407,84,530123,1366
427554,7,530129,1913
427626,21,530129,1913
435152,21,530139,608
435538,65,530139,608
435551,68,530139,2547
435555,70,530139,968
435699,3,530133,2146
435701,6,530133,948
435717,8,530133,424
435735,13,530133,261
435760,18,530133,948
435791,29,530133,329
435860,74,530133,3814
437652,1,530142,2802
437905,13,530135,1366
437929,12,530137,2833
438226,26,530141,3346
438565,40,530142,3298
438583,41,530141,852
438859,50,530137,1665
438879,49,530142,1766
439035,63,530142,2802
439092,69,530138,3778
439093,71,530138,1348
439221,76,530141,1534
439283,81,530141,3364
439301,87,530138,3859
439373,90,530138,1152
439427,90,530136,84
439647,54,530140,2260
440053,21,530134,1924
440074,25,530134,921
440110,31,530134,3184
440227,45,530134,921
449237,1,530205,2397
449329,21,530205,2397
449559,90,530205,926
449579,90,530205,3695
449633,26,530208,1924
449719,72,530208,1924
450796,1,530143,608
450822,5,530207,935
450889,10,530212,1922
450894,12,530204,2833
450895,14,530204,1879
451041,31,530212,3298
451119,38,530212,1766
451127,40,530204,489
451158,42,530143,1433
451217,45,530209,2406
451534,72,530207,1873
451626,83,530143,282
451634,82,530207,2366
451689,87,530207,935
451696,90,530209,3265
452037,64,530210,948
452454,52,530211,1534
458424,52,530215,1265
458432,85,530215,1433
458445,5,530219,948
458450,13,530219,3814
458452,21,530219,948
458453,24,530219,948
458456,37,530219,1526
460356,18,530213,402
460478,22,530214,421
460538,26,530214,2833
460539,26,530220,901
460633,31,530222,2108
460972,47,530221,773
461069,49,530216,1898
461176,63,530221,935
461202,60,530216,1898
461414,76,530216,42
461560,84,530214,1904
461666,90,530220,943
461669,90,530220,1188
461680,2,530217,926
461844,22,530217,3348
462043,48,530217,797
462052,51,530217,968
462072,58,530217,2547
462088,68,530217,3831
462120,84,530217,926
462123,86,530217,1791
462154,8,530218,3695
462169,13,530218,1740
462205,29,530218,3695
462235,45,530218,580
462278,59,530218,3695
468970,5,530224,747
469006,13,530224,1766
469024,14,530231,2409
469034,19,530224,424
469065,24,530223,3831
469078,28,530231,2409
469261,53,530224,747
469281,53,530223,2825
469305,59,530223,3677
469376,80,530224,3523
469449,90,530223,3857
469576,23,530232,943
469585,28,530232,935
469622,48,530232,943
469682,70,530232,2730
469706,80,530232,943
469719,84,530232,3028
470874,19,530225,852
470914,19,530227,2873
470943,25,530225,1781
471072,33,530227,893
471202,44,530225,1397
471393,51,530225,3807
471494,60,530229,1924
471537,65,530227,489
471543,64,530225,3807
471636,76,530227,489
471746,82,530226,3624
472041,38,530230,921
472144,64,530230,3691
472225,81,530230,376
472578,61,530228,3355
472635,80,530228,1366
472651,88,530228,1366
479671,6,530239,2802
479676,8,530239,3695
479706,18,530239,3298
479767,37,530239,3695
479919,70,530239,2743
479920,71,530239,3695
479931,77,530239,3695
479932,78,530239,3695
480042,6,530240,3814
480066,12,530240,948
480127,30,530240,948
480137,42,530240,948
480140,44,530240,948
480189,71,530240,329
480204,83,530240,3814
480206,86,530240,424
481827,1,530238,3831
481976,11,530242,2693
482043,15,530238,968
482046,20,530237,942
482256,27,530235,328
482390,33,530235,282
482471,37,530236,3753
482578,43,530242,580
482624,45,530235,2046
482643,45,530235,1265
482820,56,530235,901
482852,57,530242,303
482878,58,530234,943
482879,61,530238,376
482999,74,530242,303
483071,78,530242,2889
483141,85,530235,1265
483242,90,530242,2399
483592,63,530233,3346
483636,78,530233,3346
483778,29,530241,2260
483905,69,530241,2730
483911,81,530241,2366
489007,48,530250,3807
489283,20,530244,893
489372,52,530244,421
489408,69,530244,935
489435,81,530244,1904
489461,90,530244,1873
491269,8,530249,3831
491396,14,530245,1325
491518,26,530246,3489
491520,30,530249,1766
491536,27,530243,3719
491621,35,530245,761
491634,36,530251,1913
491684,37,530243,282
491751,44,530248,3859
491864,50,530249,968
491901,52,530246,3348
491936,52,530245,2873
492057,67,530246,261
492067,63,530245,2580
492091,68,530248,3859
492137,71,530243,3719
492152,67,530245,1924
492226,81,530246,3348
492312,84,530245,901
492313,86,530246,2629
492323,90,530249,2085
492336,86,530243,3210
492388,90,530251,1747
492404,90,530248,776
492416,90,530245,728
492544,15,530247,256
492851,89,530247,2399
493171,52,530252,424
493285,86,530252,2770
497785,24,530254,1397
497851,39,530260,1740
497905,43,530254,1397
497943,45,530254,3062
499781,7,530257,3859
499855,10,530253,2154
499856,13,530257,3317
499905,12,530259,3548
499906,18,530259,2556
499968,23,530259,3298
499995,25,530262,1904
500014,26,530253,1321
500080,34,530261,3348
500393,52,530262,218
500440,58,530262,282
500459,59,530253,293
500527,67,530259,446
500544,71,530257,3508
500818,90,530257,3667
500824,90,530261,901
500972,20,530255,3674
