match_api_id,home_J_plantel_1,away_J_plantel_1,home_J_plantel_2,away_J_plantel_2,home_J_plantel_3,away_J_plantel_3,home_J_plantel_4,away_J_plantel_4,home_J_plantel_5,away_J_plantel_5,home_J_plantel_6,away_J_plantel_6,home_J_plantel_7,away_J_plantel_7,home_J_plantel_8,away_J_plantel_8,home_J_plantel_9,away_J_plantel_9,home_J_plantel_10,away_J_plantel_10,home_J_plantel_11,away_J_plantel_11
2030537,1045.0,1044.0,2991.0,1057.0,3550.0,3541.0,2521.0,673.0,1682.0,2172.0,2738.0,3641.0,1115.0,295.0,3738.0,244.0,3173.0,2911.0,2686.0,1577.0,3850.0,3353.0
2030536,3403.0,3409.0,3007.0,3033.0,682.0,1569.0,656.0,118.0,2638.0,3113.0,848.0,2061.0,3189.0,757.0,1346.0,3740.0,3611.0,3650.0,2901.0,1335.0,441.0,3350.0
2030535,1988.0,3427.0,52.0,3012.0,1166.0,3535.0,3523.0,2581.0,3591.0,1190.0,3861.0,1222.0,2211.0,1343.0,3698.0,3714.0,915.0,1804.0,3731.0,354.0,459.0,3789.0
2030534,3405.0,2977.0,2989.0,134.0,2060.0,2140.0,3673.0,2451.0,2191.0,,3084.0,3159.0,3613.0,3713.0,2221.0,2311.0,2779.0,3684.0,2831.0,1424.0,2903.0,3795.0
2030533,1030.0,1987.0,2076.0,3462.0,2098.0,3554.0,175.0,3506.0,1068.0,3095.0,2283.0,3190.0,3614.0,2714.0,1267.0,2706.0,1324.0,2863.0,962.0,3326.0,3351.0,3838.0
2030532,519.0,30.0,2530.0,3370.0,3522.0,615.0,131.0,2600.0,2197.0,703.0,177.0,3141.0,857.0,1734.0,3179.0,368.0,3491.0,730.0,1719.0,425.0,3278.0,3822.0
2030531,1522.0,1.0,2049.0,2097.0,71.0,2144.0,2632.0,2990.0,2515.0,715.0,1706.0,307.0,3185.0,3578.0,2216.0,2773.0,1799.0,2704.0,1907.0,2359.0,3728.0,2878.0
2030530,1520.0,2480.0,3008.0,2535.0,2536.0,3064.0,1582.0,2578.0,3596.0,1148.0,3160.0,3216.0,3310.0,2732.0,,3230.0,3207.0,1281.0,3832.0,2199.0,1857.0,2876.0
2030529,538.0,1511.0,3465.0,3039.0,1136.0,3505.0,640.0,2552.0,1641.0,3600.0,2249.0,3670.0,745.0,3344.0,3654.0,801.0,3165.0,3692.0,475.0,3824.0,3254.0,461.0
2030528,1512.0,1019.0,2984.0,95.0,2584.0,2067.0,1608.0,1540.0,3130.0,3105.0,1700.0,3690.0,268.0,3706.0,3304.0,3308.0,1322.0,3724.0,3712.0,2815.0,3834.0,516.0
2030527,1044.0,3403.0,3440.0,2716.0,673.0,3076.0,3376.0,682.0,2172.0,2638.0,295.0,3611.0,1577.0,3189.0,768.0,1346.0,2516.0,848.0,3632.0,439.0,3353.0,2901.0
2030526,2981.0,1988.0,3033.0,52.0,1569.0,2159.0,118.0,3523.0,3113.0,3591.0,3650.0,3790.0,757.0,3700.0,3740.0,3648.0,2061.0,915.0,1335.0,3731.0,3750.0,459.0
2030525,3427.0,3405.0,3012.0,1692.0,3535.0,2060.0,2599.0,3084.0,1190.0,2191.0,2254.0,1120.0,3714.0,3613.0,1390.0,2831.0,2605.0,2779.0,1804.0,3256.0,3789.0,2903.0
2030524,1523.0,1030.0,1092.0,2076.0,1135.0,2098.0,134.0,175.0,221.0,3588.0,3684.0,2283.0,3713.0,3614.0,2311.0,962.0,3795.0,1267.0,1424.0,1840.0,1457.0,3351.0
2030523,1987.0,519.0,2517.0,2520.0,3506.0,131.0,2111.0,2197.0,3095.0,2678.0,3190.0,3179.0,2714.0,3215.0,3151.0,3491.0,2863.0,857.0,3326.0,1719.0,3838.0,2886.0
2030522,30.0,1052.0,3252.0,1236.0,615.0,3185.0,2560.0,2049.0,703.0,2515.0,1741.0,2216.0,845.0,3238.0,3141.0,3307.0,368.0,1706.0,3671.0,316.0,3822.0,3728.0
2030521,1.0,1520.0,2529.0,3011.0,2097.0,2536.0,2144.0,1582.0,2990.0,3596.0,1743.0,2717.0,307.0,3242.0,2314.0,3160.0,2803.0,321.0,2359.0,3207.0,3356.0,1857.0
2030520,2480.0,539.0,2537.0,3463.0,680.0,1136.0,3064.0,640.0,1148.0,1562.0,2199.0,2249.0,3676.0,745.0,3230.0,3654.0,1281.0,3165.0,3844.0,475.0,2876.0,3254.0
2030519,569.0,2967.0,2033.0,2539.0,2100.0,1634.0,2552.0,2164.0,2675.0,3130.0,1705.0,1274.0,3344.0,1567.0,801.0,1700.0,2532.0,370.0,2313.0,2342.0,463.0,3834.0
2030518,1019.0,530.0,2569.0,2991.0,1540.0,1115.0,3601.0,669.0,103.0,2528.0,1474.0,3173.0,3724.0,2742.0,3308.0,3704.0,2744.0,2686.0,3883.0,1391.0,1842.0,1977.0
2030517,3403.0,530.0,3007.0,2991.0,3076.0,3550.0,2645.0,669.0,3484.0,2528.0,800.0,3173.0,3189.0,1115.0,3747.0,3704.0,1279.0,1977.0,439.0,1391.0,469.0,3850.0
2030516,1988.0,1044.0,3479.0,3440.0,1166.0,673.0,52.0,690.0,3591.0,3094.0,3861.0,3632.0,3700.0,295.0,1342.0,1331.0,915.0,2516.0,459.0,3353.0,3731.0,3779.0
2030515,3405.0,3409.0,1692.0,1569.0,2060.0,2142.0,3373.0,118.0,2636.0,3034.0,3084.0,757.0,3613.0,2061.0,2221.0,3740.0,2779.0,3650.0,2234.0,1335.0,2427.0,3750.0
2030514,1030.0,3427.0,2076.0,3029.0,1068.0,2599.0,175.0,3535.0,3588.0,3101.0,2283.0,1222.0,3614.0,3714.0,1840.0,1727.0,1267.0,1804.0,962.0,291.0,3351.0,1939.0
2030513,519.0,2977.0,1532.0,1092.0,3522.0,3509.0,131.0,134.0,2197.0,2453.0,3491.0,3705.0,177.0,3713.0,3179.0,3018.0,857.0,3684.0,2886.0,2311.0,1719.0,1457.0
2030512,1052.0,2012.0,71.0,2517.0,3043.0,3554.0,2049.0,3506.0,2515.0,3095.0,3185.0,3151.0,2216.0,2714.0,1236.0,3190.0,1706.0,2863.0,1799.0,3324.0,3728.0,3838.0
2030511,1520.0,2506.0,3009.0,3252.0,2536.0,615.0,1582.0,2560.0,3596.0,730.0,3310.0,1741.0,2717.0,1225.0,3160.0,3671.0,321.0,368.0,3207.0,1906.0,1857.0,425.0
2030510,539.0,1.0,3463.0,3482.0,1136.0,2529.0,640.0,2097.0,1641.0,2990.0,2249.0,1743.0,3158.0,307.0,745.0,2773.0,3165.0,2803.0,3254.0,2359.0,475.0,3356.0
2030509,2967.0,1998.0,1567.0,1148.0,1608.0,2518.0,1634.0,3064.0,3130.0,1217.0,1700.0,2199.0,1268.0,3230.0,1322.0,3394.0,2342.0,1281.0,464.0,3833.0,3712.0,3844.0
2030508,1019.0,1511.0,3466.0,2033.0,95.0,2100.0,2546.0,2552.0,2663.0,3042.0,3166.0,3670.0,3883.0,3344.0,2815.0,1705.0,3308.0,2922.0,2338.0,3745.0,3724.0,2532.0
2030507,3403.0,1988.0,2512.0,3479.0,3076.0,1166.0,2645.0,2102.0,2187.0,47.0,848.0,1342.0,3189.0,3698.0,3611.0,3648.0,1326.0,1377.0,2901.0,459.0,441.0,3731.0
