id_j_en_plantel,id_equipo,id_jugadores
1,8305,109222
2,8302,97498
3,8370,37656
4,8305,109222
5,8305,38427
6,8305,38427
7,8302,97498
8,8305,38427
9,8603,40648
10,8558,40672
11,9783,96651
12,9783,47566
13,9864,25563
14,9783,96651
15,8305,163843
16,9869,33630
17,8633,30657
18,10267,96613
19,8315,33764
20,8603,46531
21,8315,33764
22,8315,33764
23,8661,33845
24,8315,261787
25,8603,47566
26,10281,96623
27,9783,33018
28,10267,19435
29,8634,33732
30,8372,449484
31,8372,449484
32,8581,114762
33,8560,38536
34,8370,37456
35,9910,192064
36,9906,170323
37,9864,19403
38,8315,33025
39,8633,213499
40,7878,75239
41,8633,25921
42,8661,37491
43,9910,183462
44,9910,183462
45,8371,37422
46,8371,37422
47,9864,41470
48,8370,406257
49,8372,150824
50,8302,151063
51,8633,30962
52,9864,41470
53,8633,37442
54,8661,32870
55,8696,257855
56,9865,20325
57,8696,38148
58,9864,33843
59,9864,33843
60,9864,33843
61,8394,27678
62,8394,27678
63,8603,31303
64,8305,201916
65,10278,75199
66,9867,21450
67,8305,37470
68,8479,37434
69,8394,33805
70,8302,38148
71,8603,27461
72,8315,181297
73,8315,181297
74,10281,37597
75,8560,241997
76,8305,37479
77,10267,25990
78,8634,33988
79,8634,33988
80,9910,358148
81,8302,26354
82,8634,33988
83,8558,164033
84,8696,33634
85,8581,127894
86,9865,75239
87,8661,33893
88,9865,75239
89,9865,150316
90,9906,38424
91,7878,213809
92,8558,127370
93,8479,34268
94,8394,30534
95,8560,607148
96,8302,242783
97,8560,102620
98,8560,102620
99,9906,150081
100,8302,33992
101,8633,30658
102,10267,35324
103,8560,607148
104,8633,23988
105,8315,33993
106,8558,70891
107,8302,26255
108,8370,33961
109,8558,38385
110,8394,38890
111,8560,282676
112,9906,19327
113,9906,56678
114,8372,477471
115,9865,6864
116,7878,25521
117,10281,150574
118,9910,358148
119,8305,37451
120,10281,97486
121,10281,196203
122,9906,638089
123,9783,45352
124,10278,39580
125,9869,101070
126,8371,33865
127,8370,191784
128,9869,101070
129,9869,101070
130,8371,38151
131,8558,193930
132,8371,38151
133,8603,2768
134,8302,150869
135,8302,150869
136,8603,37427
137,8634,37482
138,8633,25921
139,8634,37482
140,9783,37451
141,9783,37451
142,7878,213812
143,8302,33990
144,8633,25921
145,8302,33990
146,8634,37482
147,8302,33812
148,8302,33990
149,9910,172948
150,7878,280977
151,9865,280485
152,8315,33024
153,9864,28439
154,8305,265275
155,8371,37718
156,8394,73078
157,10278,24630
158,8560,33959
159,8305,75397
160,8633,30911
161,8394,31103
162,8558,121716
163,8558,121716
164,8661,33607
165,10267,30914
166,8394,31103
167,9906,114044
168,8633,30911
169,8558,121716
170,8302,38385
171,8302,38385
172,9869,298327
173,7878,265727
174,8603,33027
175,7878,30914
176,8581,70949
177,8558,209922
178,9910,172948
179,9906,56678
180,8633,30670
181,8305,42200
182,10267,74747
183,8634,26005
184,8634,26403
185,8558,70812
186,8634,26403
187,8696,257855
188,8370,213482
189,9910,191136
190,8634,26005
191,9869,303484
192,8315,37604
193,8305,37479
194,10267,182921
195,7878,40139
196,7878,317775
197,8560,47565
198,8388,33898
199,8661,33607
200,8634,30661
201,9869,74752
202,9864,37419
203,8394,183101
204,8305,67334
205,8315,154938
206,8633,37442
207,8370,406257
208,9864,38025
209,10205,58499
210,9864,37450
211,10267,282691
212,9869,74752
213,10267,31045
214,8661,33893
215,9869,74752
216,10205,40599
217,10205,40599
218,8603,115297
219,9783,18853
220,8581,70949
221,8302,209950
222,8371,72542
223,8305,477595
224,9868,49836
225,8302,33848
226,8302,314605
227,8634,150739
228,10268,74757
229,8370,150769
230,8581,179407
231,10205,160844
232,8558,40599
233,8370,40220
234,8370,256727
235,8302,33991
236,8302,33991
237,8558,37441
238,8388,37433
239,8560,282678
240,8302,33991
241,9869,16230
242,8394,102612
243,8696,37512
244,8581,150632
245,8558,37441
