team_api_id,id_temporada,goles_afavor,goles_encontra,promedio_gol,nombre_equipo,nombre_temporada
7878,5,35.0,56.0,0.9210526315789473,Granada CF,2011/2012
8302,2,54.0,39.0,1.4210526315789473,Sevilla FC,2008/2009
8302,3,65.0,49.0,1.7105263157894737,Sevilla FC,2009/2010
8302,4,62.0,61.0,1.631578947368421,Sevilla FC,2010/2011
8302,5,48.0,47.0,1.263157894736842,Sevilla FC,2011/2012
8305,2,50.0,56.0,1.3157894736842106,Getafe CF,2008/2009
8305,3,58.0,48.0,1.5263157894736843,Getafe CF,2009/2010
8305,4,49.0,60.0,1.2894736842105263,Getafe CF,2010/2011
8305,5,40.0,51.0,1.0526315789473684,Getafe CF,2011/2012
8315,2,47.0,62.0,1.236842105263158,Athletic Club de Bilbao,2008/2009
8315,3,50.0,53.0,1.3157894736842106,Athletic Club de Bilbao,2009/2010
8315,4,59.0,55.0,1.5526315789473684,Athletic Club de Bilbao,2010/2011
8315,5,49.0,52.0,1.2894736842105263,Athletic Club de Bilbao,2011/2012
8370,5,53.0,73.0,1.394736842105263,Rayo Vallecano,2011/2012
8371,2,41.0,47.0,1.0789473684210527,CA Osasuna,2008/2009
8371,3,37.0,46.0,0.9736842105263158,CA Osasuna,2009/2010
8371,4,45.0,46.0,1.1842105263157894,CA Osasuna,2010/2011
8371,5,44.0,61.0,1.1578947368421053,CA Osasuna,2011/2012
8388,2,38.0,69.0,1.0,CD Numancia,2008/2009
8394,3,46.0,64.0,1.2105263157894737,Real Zaragoza,2009/2010
8394,4,40.0,53.0,1.0526315789473684,Real Zaragoza,2010/2011
8394,5,36.0,61.0,0.9473684210526315,Real Zaragoza,2011/2012
8479,2,34.0,57.0,0.8947368421052632,RC Recreativo,2008/2009
8558,2,46.0,49.0,1.2105263157894737,RCD Espanyol,2008/2009
8558,3,29.0,46.0,0.7631578947368421,RCD Espanyol,2009/2010
8558,4,46.0,55.0,1.2105263157894737,RCD Espanyol,2010/2011
8558,5,46.0,56.0,1.2105263157894737,RCD Espanyol,2011/2012
8560,4,49.0,66.0,1.2894736842105263,Real Sociedad,2010/2011
8560,5,46.0,52.0,1.2105263157894737,Real Sociedad,2011/2012
8581,4,41.0,52.0,1.0789473684210527,Levante UD,2010/2011
8581,5,54.0,50.0,1.4210526315789473,Levante UD,2011/2012
8603,2,51.0,58.0,1.3421052631578947,Real Betis Balompié,2008/2009
8603,5,47.0,56.0,1.236842105263158,Real Betis Balompié,2011/2012
8633,2,83.0,52.0,2.1842105263157894,Real Madrid CF,2008/2009
8633,3,102.0,35.0,2.6842105263157894,Real Madrid CF,2009/2010
8633,4,102.0,33.0,2.6842105263157894,Real Madrid CF,2010/2011
8633,5,121.0,32.0,3.1842105263157894,Real Madrid CF,2011/2012
8634,2,105.0,35.0,2.763157894736842,FC Barcelona,2008/2009
8634,3,98.0,24.0,2.5789473684210527,FC Barcelona,2009/2010
8634,4,95.0,21.0,2.5,FC Barcelona,2010/2011
8634,5,114.0,29.0,3.0,FC Barcelona,2011/2012
8661,2,53.0,60.0,1.394736842105263,RCD Mallorca,2008/2009
8661,3,59.0,44.0,1.5526315789473684,RCD Mallorca,2009/2010
8661,4,41.0,56.0,1.0789473684210527,RCD Mallorca,2010/2011
8661,5,42.0,46.0,1.105263157894737,RCD Mallorca,2011/2012
8696,2,49.0,48.0,1.2894736842105263,Racing Santander,2008/2009
8696,3,42.0,59.0,1.105263157894737,Racing Santander,2009/2010
8696,4,41.0,56.0,1.0789473684210527,Racing Santander,2010/2011
8696,5,28.0,63.0,0.7368421052631579,Racing Santander,2011/2012
9783,2,48.0,47.0,1.263157894736842,RC Deportivo de La Coruña,2008/2009
9783,3,35.0,49.0,0.9210526315789473,RC Deportivo de La Coruña,2009/2010
9783,4,31.0,47.0,0.8157894736842105,RC Deportivo de La Coruña,2010/2011
9864,2,55.0,59.0,1.4473684210526316,Málaga CF,2008/2009
9864,3,42.0,48.0,1.105263157894737,Málaga CF,2009/2010
9864,4,54.0,68.0,1.4210526315789473,Málaga CF,2010/2011
9864,5,54.0,53.0,1.4210526315789473,Málaga CF,2011/2012
9865,2,45.0,61.0,1.1842105263157894,UD Almería,2008/2009
9865,3,43.0,55.0,1.131578947368421,UD Almería,2009/2010
9865,4,36.0,70.0,0.9473684210526315,UD Almería,2010/2011
9867,3,40.0,74.0,1.0526315789473684,CD Tenerife,2009/2010
9868,3,38.0,66.0,1.0,Xerez Club Deportivo,2009/2010
9869,2,47.0,79.0,1.236842105263158,Real Sporting de Gijón,2008/2009
9869,3,36.0,51.0,0.9473684210526315,Real Sporting de Gijón,2009/2010
9869,4,35.0,42.0,0.9210526315789473,Real Sporting de Gijón,2010/2011
9869,5,42.0,69.0,1.105263157894737,Real Sporting de Gijón,2011/2012
9906,2,80.0,57.0,2.1052631578947367,Atlético Madrid,2008/2009
9906,3,57.0,61.0,1.5,Atlético Madrid,2009/2010
9906,4,62.0,53.0,1.631578947368421,Atlético Madrid,2010/2011
9906,5,53.0,46.0,1.394736842105263,Atlético Madrid,2011/2012
10205,2,61.0,54.0,1.605263157894737,Villarreal CF,2008/2009
10205,3,58.0,57.0,1.5263157894736843,Villarreal CF,2009/2010
10205,4,54.0,44.0,1.4210526315789473,Villarreal CF,2010/2011
10205,5,39.0,53.0,1.0263157894736843,Villarreal CF,2011/2012
10267,2,68.0,54.0,1.7894736842105263,Valencia CF,2008/2009
10267,3,59.0,40.0,1.5526315789473684,Valencia CF,2009/2010
10267,4,64.0,44.0,1.6842105263157894,Valencia CF,2010/2011
10267,5,59.0,44.0,1.5526315789473684,Valencia CF,2011/2012
10278,4,36.0,60.0,0.9473684210526315,Hércules Club de Fútbol,2010/2011
10281,2,46.0,58.0,1.2105263157894737,Real Valladolid,2008/2009
10281,3,37.0,62.0,0.9736842105263158,Real Valladolid,2009/2010
