team_api_id,id_temporada,goles_de_local,goles_de_visitante,diferencia_goles_LvsV,nombre_equipo,nombre_temporada
7878,5,22.0,13.0,9.0,Granada CF,2011/2012
8302,2,28.0,26.0,2.0,Sevilla FC,2008/2009
8302,3,33.0,32.0,1.0,Sevilla FC,2009/2010
8302,4,35.0,27.0,8.0,Sevilla FC,2010/2011
8302,5,32.0,16.0,16.0,Sevilla FC,2011/2012
8305,2,27.0,23.0,4.0,Getafe CF,2008/2009
8305,3,34.0,24.0,10.0,Getafe CF,2009/2010
8305,4,33.0,16.0,17.0,Getafe CF,2010/2011
8305,5,24.0,16.0,8.0,Getafe CF,2011/2012
8315,2,28.0,19.0,9.0,Athletic Club de Bilbao,2008/2009
8315,3,34.0,16.0,18.0,Athletic Club de Bilbao,2009/2010
8315,4,32.0,27.0,5.0,Athletic Club de Bilbao,2010/2011
8315,5,29.0,20.0,9.0,Athletic Club de Bilbao,2011/2012
8370,5,29.0,24.0,5.0,Rayo Vallecano,2011/2012
8371,2,27.0,14.0,13.0,CA Osasuna,2008/2009
8371,3,21.0,16.0,5.0,CA Osasuna,2009/2010
8371,4,28.0,17.0,11.0,CA Osasuna,2010/2011
8371,5,26.0,18.0,8.0,CA Osasuna,2011/2012
8388,2,23.0,15.0,8.0,CD Numancia,2008/2009
8394,3,27.0,19.0,8.0,Real Zaragoza,2009/2010
8394,4,26.0,14.0,12.0,Real Zaragoza,2010/2011
8394,5,19.0,17.0,2.0,Real Zaragoza,2011/2012
8479,2,17.0,17.0,0.0,RC Recreativo,2008/2009
8558,2,28.0,18.0,10.0,RCD Espanyol,2008/2009
8558,3,20.0,9.0,11.0,RCD Espanyol,2009/2010
8558,4,33.0,13.0,20.0,RCD Espanyol,2010/2011
8558,5,31.0,15.0,16.0,RCD Espanyol,2011/2012
8560,4,27.0,22.0,5.0,Real Sociedad,2010/2011
8560,5,29.0,17.0,12.0,Real Sociedad,2011/2012
8581,4,25.0,16.0,9.0,Levante UD,2010/2011
8581,5,33.0,21.0,12.0,Levante UD,2011/2012
8603,2,24.0,27.0,-3.0,Real Betis Balompié,2008/2009
8603,5,28.0,19.0,9.0,Real Betis Balompié,2011/2012
8633,2,49.0,34.0,15.0,Real Madrid CF,2008/2009
8633,3,60.0,42.0,18.0,Real Madrid CF,2009/2010
8633,4,61.0,41.0,20.0,Real Madrid CF,2010/2011
8633,5,70.0,51.0,19.0,Real Madrid CF,2011/2012
8634,2,61.0,44.0,17.0,FC Barcelona,2008/2009
8634,3,57.0,41.0,16.0,FC Barcelona,2009/2010
8634,4,46.0,49.0,-3.0,FC Barcelona,2010/2011
8634,5,73.0,41.0,32.0,FC Barcelona,2011/2012
8661,2,33.0,20.0,13.0,RCD Mallorca,2008/2009
8661,3,42.0,17.0,25.0,RCD Mallorca,2009/2010
8661,4,25.0,16.0,9.0,RCD Mallorca,2010/2011
8661,5,21.0,21.0,0.0,RCD Mallorca,2011/2012
8696,2,28.0,21.0,7.0,Racing Santander,2008/2009
8696,3,17.0,25.0,-8.0,Racing Santander,2009/2010
8696,4,25.0,16.0,9.0,Racing Santander,2010/2011
8696,5,11.0,17.0,-6.0,Racing Santander,2011/2012
9783,2,30.0,18.0,12.0,RC Deportivo de La Coruña,2008/2009
9783,3,22.0,13.0,9.0,RC Deportivo de La Coruña,2009/2010
9783,4,22.0,9.0,13.0,RC Deportivo de La Coruña,2010/2011
9864,2,28.0,27.0,1.0,Málaga CF,2008/2009
9864,3,21.0,21.0,0.0,Málaga CF,2009/2010
9864,4,29.0,25.0,4.0,Málaga CF,2010/2011
9864,5,35.0,19.0,16.0,Málaga CF,2011/2012
9865,2,27.0,18.0,9.0,UD Almería,2008/2009
9865,3,25.0,18.0,7.0,UD Almería,2009/2010
9865,4,23.0,13.0,10.0,UD Almería,2010/2011
9867,3,26.0,14.0,12.0,CD Tenerife,2009/2010
9868,3,20.0,18.0,2.0,Xerez Club Deportivo,2009/2010
9869,2,24.0,23.0,1.0,Real Sporting de Gijón,2008/2009
9869,3,20.0,16.0,4.0,Real Sporting de Gijón,2009/2010
9869,4,23.0,12.0,11.0,Real Sporting de Gijón,2010/2011
9869,5,24.0,18.0,6.0,Real Sporting de Gijón,2011/2012
9906,2,47.0,33.0,14.0,Atlético Madrid,2008/2009
9906,3,37.0,20.0,17.0,Atlético Madrid,2009/2010
9906,4,35.0,27.0,8.0,Atlético Madrid,2010/2011
9906,5,36.0,17.0,19.0,Atlético Madrid,2011/2012
10205,2,33.0,28.0,5.0,Villarreal CF,2008/2009
10205,3,35.0,23.0,12.0,Villarreal CF,2009/2010
10205,4,33.0,21.0,12.0,Villarreal CF,2010/2011
10205,5,26.0,13.0,13.0,Villarreal CF,2011/2012
10267,2,47.0,21.0,26.0,Valencia CF,2008/2009
10267,3,34.0,25.0,9.0,Valencia CF,2009/2010
10267,4,34.0,30.0,4.0,Valencia CF,2010/2011
10267,5,40.0,19.0,21.0,Valencia CF,2011/2012
10278,4,27.0,9.0,18.0,Hércules Club de Fútbol,2010/2011
10281,2,22.0,24.0,-2.0,Real Valladolid,2008/2009
10281,3,23.0,14.0,9.0,Real Valladolid,2009/2010
